id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
47,poison,dior,False,,"plum, wild berries, coriander, anise, brazilian rosewood, tuberose, incense, white honey, cinnamon, opoponax, carnation, jasmine, african orange flower, rose, vanille, amber, sandalwood, heliotrope, musk, vetiver, virginia cedar",https://fimgs.net/images/perfume/nd.218.jpg,,,
48,acqua-di-gioia,giorgio-armani,False,,"amalfi lemon, mint, water jasmine, virginia cedar, brown sugar, french labdanum",https://fimgs.net/images/perfume/nd.8442.jpg,,,
49,dior-addict,dior,False,,"blackberry, mandarin leaf, silk tree blossom, jasmine, orange blossom, night blooming cereus, rose, vanilla, tonka bean, mysore sandalwood",https://fimgs.net/images/perfume/nd.215.jpg,,,
50,libre,yves-saint-laurent,False,,"lavender, mandarin orange, black currant, petitgrain, orange blossom, jasmine, madagascar vanilla, musk, cedar, ambergris",https://fimgs.net/images/perfume/nd.56077.jpg,,,
51,l-eau-d-issey-pour-homme,issey-miyake,False,,"yuzu, lemon, bergamot, lemon verbena, mandarin orange, cypress, calone, coriander, tarragon, sage, blue lotus, nutmeg, lily-of-the-valley, bourbon geranium, saffron, ceylon cinnamon, mignonette, tahitian vetiver, musk, cedar, sandalwood, amber, tobacco",https://fimgs.net/images/perfume/nd.721.jpg,,,
52,hypnose,lancome,False,,"passion flower, jasmine, gardenia, vanille, vetiver",https://fimgs.net/images/perfume/nd.170.jpg,,,
53,acqua-di-gio-profumo,giorgio-armani,False,,"sea notes, bergamot, rosemary, sage, geranium, incense, patchouli",https://fimgs.net/images/perfume/nd.29727.jpg,,,
54,chance-eau-fraiche,chanel,False,,"lemon, cedar, citron, water hyacinth, pink pepper, jasmine, white musk, patchouli, vetiver, teak wood, iris, amber",https://fimgs.net/images/perfume/nd.1483.jpg,,,
55,nina,nina-ricci,False,,"amalfi lemon, lime, granny smith apple, praline, peony, datura, apple tree, musk, virginia cedar",https://fimgs.net/images/perfume/nd.147.jpg,,,
56,flower-by-kenzo,kenzo,False,,"bulgarian rose, hawthorn, black currant, mandarin orange, parma violet, rose, opoponax, jasmine, vanilla, white musk, incense",https://fimgs.net/images/perfume/nd.72.jpg,,,
57,fantasy,britney-spears,False,,"kiwi, red litchi, quince, white chocolate, cupcake, orchid, jasmine, musk, orris root, woodsy notes",https://fimgs.net/images/perfume/nd.600.jpg,,,
58,armani-code-for-women,giorgio-armani,False,,"italian orange, jasmine, bitter orange, orange blossom, ginger, honey, vanilla, sandalwood",https://fimgs.net/images/perfume/nd.413.jpg,,,
